"","X1.x","sampledate","depth.x","o2.x","deck","light","frlight","avsnow","totice","whiteice","extcoef","blueice","surflite","Genus","Transect Cell Count","Magnification","Biovolume","CellBioVol","PerBioVol","# of Transects","Cell Count per cm2","Transect Length (cm)","Start XY","Taxa","WaterCol","Functional","X15","X16","X17","X18","X19","End XY","Notes","Field of View scope","Field of View #","Total Cell Count","Estimated Total","Estimated Mucilage Percent Coverage","X1.y","lakeid","year4","group","depth.y","ph","alk","dic","tic","doc","toc","no3no2","no2","nh4","o2.y","totnf","totnuf","totpf","totpuf","drsif"
"1",304,1997-01-14,0,12,NA,NA,NA,11,37,26,NA,11,NA,"TotalBiovolume",NA,NA,NA,58814.83928,NA,NA,NA,NA,"17105.9397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5775,"SP",1997,"iceon",0,7.47,NA,"9.01","9.09","3.39","3.4",16,NA,84,12,"216","252",2,10,2646
"2",305,1997-02-17,0,11.3,NA,NA,NA,24.5,40,26,NA,14,NA,"TotalBiovolume",NA,NA,NA,1720.185234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5797,"SP",1997,"iceon",0,7.24,640,"8.89","8.97","3.65","3.62",47,NA,42,11.3,"262","309",3,4,2589
"3",307,1997-05-06,0,11.4,1446,1275,0.882,NA,NA,NA,NA,NA,0.881742738589212,"TotalBiovolume",NA,NA,NA,553601.7042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5841,"SP",1997,"iceoff",0,7.54,617,"8.5","8.72","3.12","3.28",24,NA,23,11.4,"160","222",0,22,2777
"4",310,1997-06-18,0,8.7,761,604.8,0.795,NA,NA,NA,NA,NA,0.794743758212878,"TotalBiovolume",NA,NA,NA,120852.7877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5904,"SP",1997,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA
"5",315,1997-08-28,0,8.9,267,214.1,0.802,NA,NA,NA,NA,NA,0.80187265917603,"TotalBiovolume",NA,NA,NA,74003.74465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6005,"SP",1997,"iceoff",0,8.21,598,"7.85","7.96","3.59","3.71",0,NA,48,8.9,"92","96",1,3,2242
"6",320,1997-11-10,0,9.4,142,105.6,0.744,NA,NA,NA,NA,NA,0.743661971830986,"TotalBiovolume",NA,NA,NA,128833.4606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6109,"SP",1997,"iceoff",0,7.39,641,"8.58","8.74","3.29","3.5",2,NA,21,9.4,"43","40",3,9,2757
"7",322,1998-02-23,0,14,275,148,0.538,0,35,11,0.359,24,0.538181818181818,"TotalBiovolume",NA,NA,NA,189107.2736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6153,"SP",1998,"iceon",0,7.92,674,"8.14","8.26","3.3","3.27",92,NA,79,14,"311","276",5,6,2871
"8",324,1998-04-20,0,11.6,1336,1083,0.811,NA,NA,NA,NA,NA,0.81062874251497,"TotalBiovolume",NA,NA,NA,181669.4978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6196,"SP",1998,"iceoff",0,7.67,617,"8.25","8.51","3.34","3.07",1,NA,4,11.6,"234","270",4,10,2580
"9",328,1998-06-15,0,9.5,1359,1118,0.823,NA,NA,NA,NA,NA,0.822663723325975,"TotalBiovolume",NA,NA,NA,167909.7456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6278,"SP",1998,"iceoff",0,8.06,NA,"7.98","8.35","3.27","4.23",1,NA,7,9.5,"168","168",0,3,2396
"10",NA,1997-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,204417.0737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",332,1998-08-12,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148148148,"TotalBiovolume",NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6360,"SP",1998,"iceoff",0,8.2,625,"8.25","8.26","3.53","3.53",2,NA,108,7.9,"171","210",2,3,2156
"12",333,1998-08-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6360,"SP",1998,"iceoff",0,8.2,625,"8.25","8.26","3.53","3.53",2,NA,108,7.9,"171","210",2,3,2156
"13",332,1998-08-12,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148148148,"TotalBiovolume",NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6361,"SP",1998,"iceoff",0,7.95,622,"8.26","8.29","3.56","3.55",0,NA,13,7.9,"156","190",1,3,2731
"14",333,1998-08-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6361,"SP",1998,"iceoff",0,7.95,622,"8.26","8.29","3.56","3.55",0,NA,13,7.9,"156","190",1,3,2731
"15",332,1998-08-12,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148148148,"TotalBiovolume",NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6362,"SP",1998,"iceoff",0,8.2,625,"8.25","8.26","3.53","3.53",2,NA,108,NA,"171","210",2,3,2156
"16",333,1998-08-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6362,"SP",1998,"iceoff",0,8.2,625,"8.25","8.26","3.53","3.53",2,NA,108,NA,"171","210",2,3,2156
"17",332,1998-08-12,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148148148,"TotalBiovolume",NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6363,"SP",1998,"iceoff",0,7.95,622,"8.26","8.29","3.56","3.55",0,NA,13,NA,"156","190",1,3,2731
"18",333,1998-08-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6363,"SP",1998,"iceoff",0,7.95,622,"8.26","8.29","3.56","3.55",0,NA,13,NA,"156","190",1,3,2731
"19",340,1998-11-12,0,9.2,815,464.2,0.57,NA,NA,NA,NA,NA,0.569570552147239,"TotalBiovolume",NA,NA,NA,147520.6467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6483,"SP",1998,"iceoff",0,7.33,661,"9.18","9.18","3.68","3.52",2,NA,30,9.2,"219","240",5,12,2918
"20",342,1999-02-23,0,13.2,1262,9.66,0.008,9,41,14,NA,27,0.00765451664025357,"TotalBiovolume",NA,NA,NA,83274.68798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6526,"SP",1999,"iceon",0,7.54,731,"9.44","9.58","3.44","3.24",32,NA,72,13.2,"447","576",5,15,3068
"21",344,1999-05-04,0,12.2,1585,1104,0.697,NA,NA,NA,NA,NA,0.696529968454259,"TotalBiovolume",NA,NA,NA,227305.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6570,"SP",1999,"iceoff",0,8.14,649,"8.37","8.61","2.99","2.89",0,NA,9,12.2,"147","117",4,29,2700
"22",348,1999-07-01,0,8.4,1745,1354.3,0.776,NA,NA,NA,NA,NA,0.776103151862464,"TotalBiovolume",NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6654,"SP",1999,"iceoff",0,8.09,NA,"8.29","8.41","3.32","3.36",2,NA,7,8.4,"136","211",2,4,2555
"23",349,1999-07-01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6654,"SP",1999,"iceoff",0,8.09,NA,"8.29","8.41","3.32","3.36",2,NA,7,8.4,"136","211",2,4,2555
"24",348,1999-07-01,0,8.4,1745,1354.3,0.776,NA,NA,NA,NA,NA,0.776103151862464,"TotalBiovolume",NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6655,"SP",1999,"iceoff",0,8.1,NA,"8.38","8.47","3.3","3.67",1,NA,7,8.4,"131","181",1,4,2491
"25",349,1999-07-01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6655,"SP",1999,"iceoff",0,8.1,NA,"8.38","8.47","3.3","3.67",1,NA,7,8.4,"131","181",1,4,2491
"26",348,1999-07-01,0,8.4,1745,1354.3,0.776,NA,NA,NA,NA,NA,0.776103151862464,"TotalBiovolume",NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6656,"SP",1999,"iceoff",0,8.09,NA,"8.29","8.41","3.32","3.36",2,NA,7,NA,"136","211",2,4,2555
"27",349,1999-07-01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6656,"SP",1999,"iceoff",0,8.09,NA,"8.29","8.41","3.32","3.36",2,NA,7,NA,"136","211",2,4,2555
"28",348,1999-07-01,0,8.4,1745,1354.3,0.776,NA,NA,NA,NA,NA,0.776103151862464,"TotalBiovolume",NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6657,"SP",1999,"iceoff",0,8.1,NA,"8.38","8.47","3.3","3.67",1,NA,7,NA,"131","181",1,4,2491
"29",349,1999-07-01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,74952.73654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6657,"SP",1999,"iceoff",0,8.1,NA,"8.38","8.47","3.3","3.67",1,NA,7,NA,"131","181",1,4,2491
"30",354,1999-08-23,0,8,424,274.56,0.648,NA,NA,NA,NA,NA,0.647547169811321,"TotalBiovolume",NA,NA,NA,58570.67871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6738,"SP",1999,"iceoff",0,8.07,619,"8.27","8.31","3.66","3.47",2,NA,6,8,"178","223",4,5,2272
"31",359,1999-11-10,0,11.6,62,30.19,0.487,NA,NA,NA,NA,NA,0.486935483870968,"TotalBiovolume",NA,NA,NA,29393.12457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6844,"SP",1999,"iceoff",0,7.54,651,"8.57","8.66","3.34","3.27",1,NA,10,11.6,"212","223",5,9,2545
"32",361,2000-02-22,0,14.4,690,2.65,0.004,27.6,36,2,NA,34,0.00384057971014493,"TotalBiovolume",NA,NA,NA,19235.34559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6887,"SP",2000,"iceon",0,7.66,709,"9.61","9.62","3.21","3.16",2,NA,60,14.4,"226","282",6,9,2975
"33",362,2000-04-06,0,11.7,511,281.7,0.551,NA,NA,NA,NA,NA,0.551272015655577,"TotalBiovolume",NA,NA,NA,128642.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6909,"SP",2000,"iceoff",0,7.42,645,"8.41","8.77","2.67","2.58",8,NA,12,11.7,"242","279",2,7,3007
"34",367,2000-05-30,0,9.7,271,152.4,0.562,NA,NA,NA,NA,NA,0.562361623616236,"TotalBiovolume",NA,NA,NA,306599.4631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6993,"SP",2000,"iceoff",0,8.16,NA,"8.48","8.62","3.31","3.22",2,NA,50,9.7,"171","249",1,4,2947
"35",373,2000-07-26,0,8.3,492,249.3,0.507,NA,NA,NA,NA,NA,0.506707317073171,"TotalBiovolume",NA,NA,NA,77778.75809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7077,"SP",2000,"iceoff",0,7.99,NA,"8.4","8.54","3.78","3.93",0,NA,9,8.3,"193","248",0,3,2138
"36",375,2000-08-21,0,8.8,1486,855,0.575,NA,NA,NA,NA,NA,0.575370121130552,"TotalBiovolume",NA,NA,NA,76589.00186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7122,"SP",2000,"iceoff",0,8.36,633,"8.2","8.34","4","4.22",1,NA,6,8.8,"214","191",4,3,2386
"37",381,2000-11-16,0,10.2,198,123.5,0.624,NA,NA,NA,NA,NA,0.623737373737374,"TotalBiovolume",NA,NA,NA,95748.80998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248,"SP",2000,"iceoff",0,7.32,656,"9.06","8.95","3.35","3.45",5,NA,47,10.2,"226","268",3,9,2890
"38",383,2001-02-28,0,12.5,810,5.93,0.007,NA,NA,NA,NA,NA,0.00732098765432099,"TotalBiovolume",NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7292,"SP",2001,"iceon",0,7.7,676,"8.62","8.76","3.16","2.93",4,NA,56,12.5,"293","266",4,14,2790
"39",384,2001-02-28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7292,"SP",2001,"iceon",0,7.7,676,"8.62","8.76","3.16","2.93",4,NA,56,12.5,"293","266",4,14,2790
"40",383,2001-02-28,0,12.5,810,5.93,0.007,NA,NA,NA,NA,NA,0.00732098765432099,"TotalBiovolume",NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7293,"SP",2001,"iceon",0,7.68,672,"8.54","8.84","3.19","2.94",8,NA,61,12.5,"243","297",3,14,3055
"41",384,2001-02-28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7293,"SP",2001,"iceon",0,7.68,672,"8.54","8.84","3.19","2.94",8,NA,61,12.5,"243","297",3,14,3055
"42",383,2001-02-28,0,12.5,810,5.93,0.007,NA,NA,NA,NA,NA,0.00732098765432099,"TotalBiovolume",NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7294,"SP",2001,"iceon",0,7.7,676,"8.62","8.76","3.16","2.93",4,NA,56,NA,"293","266",4,14,2790
"43",384,2001-02-28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7294,"SP",2001,"iceon",0,7.7,676,"8.62","8.76","3.16","2.93",4,NA,56,NA,"293","266",4,14,2790
"44",383,2001-02-28,0,12.5,810,5.93,0.007,NA,NA,NA,NA,NA,0.00732098765432099,"TotalBiovolume",NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7295,"SP",2001,"iceon",0,7.68,672,"8.54","8.84","3.19","2.94",8,NA,61,NA,"243","297",3,14,3055
"45",384,2001-02-28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,21262.77994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7295,"SP",2001,"iceon",0,7.68,672,"8.54","8.84","3.19","2.94",8,NA,61,NA,"243","297",3,14,3055
"46",386,2001-04-30,0,12.7,1698,1157,0.681,NA,NA,NA,NA,NA,0.681389870435807,"TotalBiovolume",NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7336,"SP",2001,"iceoff",0,7.9,645,"8.49","8.8","3.46","3.26",13,NA,33,12.7,"131","198",4,10,2857
"47",387,2001-04-30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7336,"SP",2001,"iceoff",0,7.9,645,"8.49","8.8","3.46","3.26",13,NA,33,12.7,"131","198",4,10,2857
"48",386,2001-04-30,0,12.7,1698,1157,0.681,NA,NA,NA,NA,NA,0.681389870435807,"TotalBiovolume",NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7337,"SP",2001,"iceoff",0,7.91,646,"8.26","8.74","3.38","3.44",2,NA,2,12.7,"117","194",3,8,2923
"49",387,2001-04-30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7337,"SP",2001,"iceoff",0,7.91,646,"8.26","8.74","3.38","3.44",2,NA,2,12.7,"117","194",3,8,2923
"50",386,2001-04-30,0,12.7,1698,1157,0.681,NA,NA,NA,NA,NA,0.681389870435807,"TotalBiovolume",NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7338,"SP",2001,"iceoff",0,7.9,645,"8.49","8.8","3.46","3.26",13,NA,33,NA,"131","198",4,10,2857
"51",387,2001-04-30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7338,"SP",2001,"iceoff",0,7.9,645,"8.49","8.8","3.46","3.26",13,NA,33,NA,"131","198",4,10,2857
"52",386,2001-04-30,0,12.7,1698,1157,0.681,NA,NA,NA,NA,NA,0.681389870435807,"TotalBiovolume",NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7339,"SP",2001,"iceoff",0,7.91,646,"8.26","8.74","3.38","3.44",2,NA,2,NA,"117","194",3,8,2923
"53",387,2001-04-30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,28410.14551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7339,"SP",2001,"iceoff",0,7.91,646,"8.26","8.74","3.38","3.44",2,NA,2,NA,"117","194",3,8,2923
"54",389,2001-05-29,0,9.7,1564,1035,0.662,NA,NA,NA,NA,NA,0.661764705882353,"TotalBiovolume",NA,NA,NA,41235.72366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7378,"SP",2001,"iceoff",0,7.92,NA,"8.4","8.11","3.28","3.16",13,NA,5,9.7,"209","156",1,2,2592
"55",391,2001-06-26,0,10,1755,1285,0.732,NA,NA,NA,NA,NA,0.732193732193732,"TotalBiovolume",NA,NA,NA,134990.8154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diatoms.org",NA,NA,NA,NA,NA,7421,"SP",2001,"iceoff",0,8.22,NA,"8.04","8.17","3.44","3.32",1,NA,5,10,"242","215",6,9,2536
"56",393,2001-07-24,0,8.4,1339,905,0.676,NA,NA,NA,NA,NA,0.675877520537715,"TotalBiovolume",NA,NA,NA,22145.11309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7463,"SP",2001,"iceoff",0,8.1,NA,"8.4","8.28","3.5","3.53",1,NA,1,8.4,"153","101",1,1,2649
"57",395,2001-08-20,0,8.4,671,435,0.648,NA,NA,NA,NA,NA,0.648286140089419,"TotalBiovolume",NA,NA,NA,29306.01224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7505,"SP",2001,"iceoff",0,8.13,655,"7.9","7.93","3.43","3.39",4,NA,54,8.4,"191","219",0,1,2649
"58",396,2001-08-20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,29306.01224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7505,"SP",2001,"iceoff",0,8.13,655,"7.9","7.93","3.43","3.39",4,NA,54,8.4,"191","219",0,1,2649
"59",395,2001-08-20,0,8.4,671,435,0.648,NA,NA,NA,NA,NA,0.648286140089419,"TotalBiovolume",NA,NA,NA,29306.01224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7506,"SP",2001,"iceoff",0,NA,646,"7.88","7.96","3.43","3.49",0,NA,0,8.4,"224","238",0,0,2771
