"sampledate","genus","biovolume_conc"
2010-02-22,"Aphanocapsa delicatissima",55.5137
2010-02-22,"Chlamydomonas ",1522.6585
2010-02-22,"Cryptomonas erosa",25377.6325
2010-02-22,"Euglena ",91473.6948
2010-02-22,"Miscellaneous",1189.5763
2010-02-22,"Rhodospirillum rubrum",1345.3878
2010-02-22,"Synechococcus ",43.6164
2010-02-22,"Total",121008.08
2010-02-22,"Asterionella formosa",0
2010-02-22,"Chlorococcaceae",0
2010-02-22,"Chlorophyta",0
2010-02-22,"Chrysophyceae",0
2010-02-22,"Peridinium ",0
2010-02-22,"Rhodomonas minuta",0
2010-02-22,"Synechocystis ",0
2010-02-22,"Coelastrum ",0
2010-02-22,"Gymnodinium sp. 2",0
2010-02-22,"Gymnodinium sp. 3",0
2010-02-22,"Monomastix minuta",0
2010-02-22,"Oocystis parva",0
2010-02-22,"Schroederia judayi",0
2010-02-22,"Dinobryon cylindricum",0
2010-02-22,"Lindavia intermedia",0
2010-02-22,"Sphaerocystis schroeteri",0
2010-02-22,"Chrysochromulina parva",0
2010-02-22,"Kephyrion ",0
2010-02-22,"Monoraphidium griffithii",0
2010-02-22,"Aphanizomenon ",0
2010-02-22,"Aphanothece saxicola",0
2010-02-22,"Kephyrion planctonicum",0
2010-02-22,"Tabellaria flocculosa",0
2010-02-22,"Oedogonium ",0
2010-02-22,"Phormidium ",0
2010-02-22,"Tabellaria binalis",0
2010-02-22,"Actinella punctata",0
2010-02-22,"Aphanothece nidulans",0
2010-02-22,"Gloeococcus minor",0
2010-02-22,"Mallomonas ",0
2010-02-22,"Planktothrix agardhii",0
2010-02-22,"Euglena acus",0
2010-02-22,"Scenedesmus bijuga",0
2010-02-22,"Dinobryon cyst",0
2010-02-22,"Mougeotia ",0
2010-02-22,"Stichococcus bacillaris",0
2010-02-22,"Gonyostomum semen",0
2010-02-22,"Mucidosphaerium pulchellum",0
2010-02-22,"Spinocosmarium ",0
2010-02-22,"Synechococcus elongatus",0
2010-02-22,"Cyclotella sp. 1",0
2010-02-22,"Stephanodiscus parvus",0
2010-02-22,"Botryococcus braunii",0
2010-02-22,"Cyclotella ocellata",0
2010-02-22,"Peridinium inconspicuum",0
2010-02-22,"Uroglena ",0
2010-02-22,"Gymnodinium sp. 1",0
2010-02-22,"Peridinium umbonatum",0
2010-02-22,"Lepocinclis ",0
2010-02-22,"Dinobryon ",0
2010-02-22,"Dinobryon sociale",0
2010-02-22,"Monoraphidium arcuatum",0
2010-02-22,"Trachelomonas ",0
2010-02-22,"Cosmarium ",0
2010-02-22,"Dinobryon crenulatum",0
2010-02-22,"Fragilaria filiformis",0
2010-02-22,"Mallomonas akrokomas",0
2010-02-22,"Monomastix astigmata",0
2010-02-22,"Oocystis pusilla",0
2010-02-22,"Peridinium cinctum",0
2010-02-22,"Staurastrum ",0
2010-02-22,"Staurastrum hexacerum",0
2010-02-22,"Stichogloea olivacea",0
2010-02-22,"Teilingia granulata",0
2010-02-22,"Pseudanabaena limnetica",0
2010-02-22,"Microspora ",0
2010-02-22,"Aphanizomenon flos-aquae",0
2010-02-22,"Eunotia ",0
2010-02-22,"Colonial ",0
2010-02-22,"Quadrigula lacustris",0
2010-02-22,"Aphanothece ",0
2010-02-22,"Chrysococcus minutus",0
2010-02-22,"Stephanodiscus medius",0
2010-02-22,"Glenodinium quadridens",0
2010-02-22,"Chrysocapsaceae",0
2010-04-13,"Aphanocapsa delicatissima",0
2010-04-13,"Chlamydomonas ",184764.1653
2010-04-13,"Cryptomonas erosa",0
2010-04-13,"Euglena ",103122.0071
2010-04-13,"Miscellaneous",4567.9754
2010-04-13,"Rhodospirillum rubrum",52961.9967
2010-04-13,"Synechococcus ",35.6874
2010-04-13,"Total",406518.0542
2010-04-13,"Asterionella formosa",1281.7498
2010-04-13,"Chlorococcaceae",25980.3572
2010-04-13,"Chlorophyta",5995.466
2010-04-13,"Chrysophyceae",9507.5239
2010-04-13,"Peridinium ",13652.8602
2010-04-13,"Rhodomonas minuta",4567.9709
2010-04-13,"Synechocystis ",80.2943
2010-04-13,"Coelastrum ",0
2010-04-13,"Gymnodinium sp. 2",0
2010-04-13,"Gymnodinium sp. 3",0
2010-04-13,"Monomastix minuta",0
2010-04-13,"Oocystis parva",0
2010-04-13,"Schroederia judayi",0
2010-04-13,"Dinobryon cylindricum",0
2010-04-13,"Lindavia intermedia",0
2010-04-13,"Sphaerocystis schroeteri",0
2010-04-13,"Chrysochromulina parva",0
2010-04-13,"Kephyrion ",0
2010-04-13,"Monoraphidium griffithii",0
2010-04-13,"Aphanizomenon ",0
2010-04-13,"Aphanothece saxicola",0
2010-04-13,"Kephyrion planctonicum",0
2010-04-13,"Tabellaria flocculosa",0
2010-04-13,"Oedogonium ",0
2010-04-13,"Phormidium ",0
2010-04-13,"Tabellaria binalis",0
2010-04-13,"Actinella punctata",0
2010-04-13,"Aphanothece nidulans",0
2010-04-13,"Gloeococcus minor",0
2010-04-13,"Mallomonas ",0
2010-04-13,"Planktothrix agardhii",0
2010-04-13,"Euglena acus",0
2010-04-13,"Scenedesmus bijuga",0
2010-04-13,"Dinobryon cyst",0
2010-04-13,"Mougeotia ",0
2010-04-13,"Stichococcus bacillaris",0
2010-04-13,"Gonyostomum semen",0
2010-04-13,"Mucidosphaerium pulchellum",0
2010-04-13,"Spinocosmarium ",0
2010-04-13,"Synechococcus elongatus",0
2010-04-13,"Cyclotella sp. 1",0
2010-04-13,"Stephanodiscus parvus",0
2010-04-13,"Botryococcus braunii",0
2010-04-13,"Cyclotella ocellata",0
2010-04-13,"Peridinium inconspicuum",0
2010-04-13,"Uroglena ",0
2010-04-13,"Gymnodinium sp. 1",0
2010-04-13,"Peridinium umbonatum",0
2010-04-13,"Lepocinclis ",0
2010-04-13,"Dinobryon ",0
2010-04-13,"Dinobryon sociale",0
2010-04-13,"Monoraphidium arcuatum",0
2010-04-13,"Trachelomonas ",0
2010-04-13,"Cosmarium ",0
2010-04-13,"Dinobryon crenulatum",0
2010-04-13,"Fragilaria filiformis",0
2010-04-13,"Mallomonas akrokomas",0
2010-04-13,"Monomastix astigmata",0
2010-04-13,"Oocystis pusilla",0
2010-04-13,"Peridinium cinctum",0
2010-04-13,"Staurastrum ",0
2010-04-13,"Staurastrum hexacerum",0
2010-04-13,"Stichogloea olivacea",0
2010-04-13,"Teilingia granulata",0
2010-04-13,"Pseudanabaena limnetica",0
2010-04-13,"Microspora ",0
2010-04-13,"Aphanizomenon flos-aquae",0
2010-04-13,"Eunotia ",0
2010-04-13,"Colonial ",0
2010-04-13,"Quadrigula lacustris",0
2010-04-13,"Aphanothece ",0
2010-04-13,"Chrysococcus minutus",0
2010-04-13,"Stephanodiscus medius",0
2010-04-13,"Glenodinium quadridens",0
2010-04-13,"Chrysocapsaceae",0
2010-06-10,"Aphanocapsa delicatissima",253.7769
2010-06-10,"Chlamydomonas ",46426.7807
2010-06-10,"Cryptomonas erosa",544414.9075
2010-06-10,"Euglena ",126451.9759
2010-06-10,"Miscellaneous",31989.7774
2010-06-10,"Rhodospirillum rubrum",6959.0389
2010-06-10,"Synechococcus ",285.499
2010-06-10,"Total",1037080.528
2010-06-10,"Asterionella formosa",178118.8246
2010-06-10,"Chlorococcaceae",126.8885
2010-06-10,"Chlorophyta",17700.9126
2010-06-10,"Chrysophyceae",60205.5986
2010-06-10,"Peridinium ",0
2010-06-10,"Rhodomonas minuta",1015.1046
2010-06-10,"Synechocystis ",0
2010-06-10,"Coelastrum ",7687.5653
2010-06-10,"Gymnodinium sp. 2",5075.5262
2010-06-10,"Gymnodinium sp. 3",2283.9862
2010-06-10,"Monomastix minuta",356.8738
2010-06-10,"Oocystis parva",5709.9685
2010-06-10,"Schroederia judayi",2017.5228
2010-06-10,"Dinobryon cylindricum",0
2010-06-10,"Lindavia intermedia",0
2010-06-10,"Sphaerocystis schroeteri",0
2010-06-10,"Chrysochromulina parva",0
2010-06-10,"Kephyrion ",0
2010-06-10,"Monoraphidium griffithii",0
2010-06-10,"Aphanizomenon ",0
2010-06-10,"Aphanothece saxicola",0
2010-06-10,"Kephyrion planctonicum",0
2010-06-10,"Tabellaria flocculosa",0
2010-06-10,"Oedogonium ",0
2010-06-10,"Phormidium ",0
2010-06-10,"Tabellaria binalis",0
2010-06-10,"Actinella punctata",0
2010-06-10,"Aphanothece nidulans",0
2010-06-10,"Gloeococcus minor",0
2010-06-10,"Mallomonas ",0
2010-06-10,"Planktothrix agardhii",0
2010-06-10,"Euglena acus",0
2010-06-10,"Scenedesmus bijuga",0
2010-06-10,"Dinobryon cyst",0
2010-06-10,"Mougeotia ",0
2010-06-10,"Stichococcus bacillaris",0
2010-06-10,"Gonyostomum semen",0
2010-06-10,"Mucidosphaerium pulchellum",0
2010-06-10,"Spinocosmarium ",0
2010-06-10,"Synechococcus elongatus",0
2010-06-10,"Cyclotella sp. 1",0
2010-06-10,"Stephanodiscus parvus",0
2010-06-10,"Botryococcus braunii",0
2010-06-10,"Cyclotella ocellata",0
2010-06-10,"Peridinium inconspicuum",0
2010-06-10,"Uroglena ",0
2010-06-10,"Gymnodinium sp. 1",0
2010-06-10,"Peridinium umbonatum",0
2010-06-10,"Lepocinclis ",0
2010-06-10,"Dinobryon ",0
2010-06-10,"Dinobryon sociale",0
2010-06-10,"Monoraphidium arcuatum",0
2010-06-10,"Trachelomonas ",0
2010-06-10,"Cosmarium ",0
2010-06-10,"Dinobryon crenulatum",0
2010-06-10,"Fragilaria filiformis",0
2010-06-10,"Mallomonas akrokomas",0
2010-06-10,"Monomastix astigmata",0
2010-06-10,"Oocystis pusilla",0
2010-06-10,"Peridinium cinctum",0
2010-06-10,"Staurastrum ",0
2010-06-10,"Staurastrum hexacerum",0
2010-06-10,"Stichogloea olivacea",0
2010-06-10,"Teilingia granulata",0
2010-06-10,"Pseudanabaena limnetica",0
2010-06-10,"Microspora ",0
2010-06-10,"Aphanizomenon flos-aquae",0
2010-06-10,"Eunotia ",0
2010-06-10,"Colonial ",0
2010-06-10,"Quadrigula lacustris",0
2010-06-10,"Aphanothece ",0
2010-06-10,"Chrysococcus minutus",0
2010-06-10,"Stephanodiscus medius",0
2010-06-10,"Glenodinium quadridens",0
2010-06-10,"Chrysocapsaceae",0
2010-07-07,"Aphanocapsa delicatissima",0
2010-07-07,"Chlamydomonas ",99162.2636
2010-07-07,"Cryptomonas erosa",831548.8353
2010-07-07,"Euglena ",44709.0336
2010-07-07,"Miscellaneous",0
2010-07-07,"Rhodospirillum rubrum",3580.6337
2010-07-07,"Synechococcus ",317.2211
2010-07-07,"Total",1060227.48
2010-07-07,"Asterionella formosa",5758.4179
2010-07-07,"Chlorococcaceae",6284.9288
2010-07-07,"Chlorophyta",2438.792
2010-07-07,"Chrysophyceae",27804.7666
2010-07-07,"Peridinium ",0
2010-07-07,"Rhodomonas minuta",0
2010-07-07,"Synechocystis ",160.5887
2010-07-07,"Coelastrum ",0
2010-07-07,"Gymnodinium sp. 2",0
2010-07-07,"Gymnodinium sp. 3",0
2010-07-07,"Monomastix minuta",126.8885
2010-07-07,"Oocystis parva",0
2010-07-07,"Schroederia judayi",1015.1077
2010-07-07,"Dinobryon cylindricum",2030.2093
2010-07-07,"Lindavia intermedia",7881.953
2010-07-07,"Sphaerocystis schroeteri",27407.8403
2010-07-07,"Chrysochromulina parva",0
2010-07-07,"Kephyrion ",0
2010-07-07,"Monoraphidium griffithii",0
2010-07-07,"Aphanizomenon ",0
2010-07-07,"Aphanothece saxicola",0
2010-07-07,"Kephyrion planctonicum",0
2010-07-07,"Tabellaria flocculosa",0
2010-07-07,"Oedogonium ",0
2010-07-07,"Phormidium ",0
2010-07-07,"Tabellaria binalis",0
2010-07-07,"Actinella punctata",0
2010-07-07,"Aphanothece nidulans",0
2010-07-07,"Gloeococcus minor",0
2010-07-07,"Mallomonas ",0
2010-07-07,"Planktothrix agardhii",0
2010-07-07,"Euglena acus",0
2010-07-07,"Scenedesmus bijuga",0
2010-07-07,"Dinobryon cyst",0
2010-07-07,"Mougeotia ",0
2010-07-07,"Stichococcus bacillaris",0
2010-07-07,"Gonyostomum semen",0
2010-07-07,"Mucidosphaerium pulchellum",0
2010-07-07,"Spinocosmarium ",0
2010-07-07,"Synechococcus elongatus",0
2010-07-07,"Cyclotella sp. 1",0
2010-07-07,"Stephanodiscus parvus",0
2010-07-07,"Botryococcus braunii",0
2010-07-07,"Cyclotella ocellata",0
2010-07-07,"Peridinium inconspicuum",0
2010-07-07,"Uroglena ",0
2010-07-07,"Gymnodinium sp. 1",0
2010-07-07,"Peridinium umbonatum",0
2010-07-07,"Lepocinclis ",0
2010-07-07,"Dinobryon ",0
2010-07-07,"Dinobryon sociale",0
2010-07-07,"Monoraphidium arcuatum",0
2010-07-07,"Trachelomonas ",0
2010-07-07,"Cosmarium ",0
2010-07-07,"Dinobryon crenulatum",0
2010-07-07,"Fragilaria filiformis",0
2010-07-07,"Mallomonas akrokomas",0
2010-07-07,"Monomastix astigmata",0
2010-07-07,"Oocystis pusilla",0
2010-07-07,"Peridinium cinctum",0
2010-07-07,"Staurastrum ",0
2010-07-07,"Staurastrum hexacerum",0
2010-07-07,"Stichogloea olivacea",0
2010-07-07,"Teilingia granulata",0
2010-07-07,"Pseudanabaena limnetica",0
2010-07-07,"Microspora ",0
2010-07-07,"Aphanizomenon flos-aquae",0
2010-07-07,"Eunotia ",0
2010-07-07,"Colonial ",0
2010-07-07,"Quadrigula lacustris",0
2010-07-07,"Aphanothece ",0
2010-07-07,"Chrysococcus minutus",0
2010-07-07,"Stephanodiscus medius",0
2010-07-07,"Glenodinium quadridens",0
2010-07-07,"Chrysocapsaceae",0
2010-08-03,"Aphanocapsa delicatissima",0
2010-08-03,"Chlamydomonas ",71239.4509
2010-08-03,"Cryptomonas erosa",543436.608
2010-08-03,"Euglena ",69703.9061
2010-08-03,"Miscellaneous",0
2010-08-03,"Rhodospirillum rubrum",2569.564
2010-08-03,"Synechococcus ",47.5832
2010-08-03,"Total",728171.29
2010-08-03,"Asterionella formosa",0
2010-08-03,"Chlorococcaceae",1982.6261
2010-08-03,"Chlorophyta",60.9315
2010-08-03,"Chrysophyceae",8580.9834
2010-08-03,"Peridinium ",0
2010-08-03,"Rhodomonas minuta",507.5523
2010-08-03,"Synechocystis ",80.2943
2010-08-03,"Coelastrum ",0
2010-08-03,"Gymnodinium sp. 2",2537.7631
2010-08-03,"Gymnodinium sp. 3",0
2010-08-03,"Monomastix minuta",356.8738
2010-08-03,"Oocystis parva",1586.1027
2010-08-03,"Schroederia judayi",1268.8846
2010-08-03,"Dinobryon cylindricum",14100.4466
2010-08-03,"Lindavia intermedia",0
2010-08-03,"Sphaerocystis schroeteri",6851.9601
2010-08-03,"Chrysochromulina parva",1832.2672
2010-08-03,"Kephyrion ",285.499
2010-08-03,"Monoraphidium griffithii",1141.9931
2010-08-03,"Aphanizomenon ",0
2010-08-03,"Aphanothece saxicola",0
2010-08-03,"Kephyrion planctonicum",0
2010-08-03,"Tabellaria flocculosa",0
2010-08-03,"Oedogonium ",0
2010-08-03,"Phormidium ",0
2010-08-03,"Tabellaria binalis",0
2010-08-03,"Actinella punctata",0
2010-08-03,"Aphanothece nidulans",0
2010-08-03,"Gloeococcus minor",0
2010-08-03,"Mallomonas ",0
2010-08-03,"Planktothrix agardhii",0
2010-08-03,"Euglena acus",0
2010-08-03,"Scenedesmus bijuga",0
2010-08-03,"Dinobryon cyst",0
2010-08-03,"Mougeotia ",0
2010-08-03,"Stichococcus bacillaris",0
2010-08-03,"Gonyostomum semen",0
2010-08-03,"Mucidosphaerium pulchellum",0
2010-08-03,"Spinocosmarium ",0
2010-08-03,"Synechococcus elongatus",0
2010-08-03,"Cyclotella sp. 1",0
2010-08-03,"Stephanodiscus parvus",0
2010-08-03,"Botryococcus braunii",0
2010-08-03,"Cyclotella ocellata",0
2010-08-03,"Peridinium inconspicuum",0
2010-08-03,"Uroglena ",0
2010-08-03,"Gymnodinium sp. 1",0
2010-08-03,"Peridinium umbonatum",0
2010-08-03,"Lepocinclis ",0
2010-08-03,"Dinobryon ",0
2010-08-03,"Dinobryon sociale",0
2010-08-03,"Monoraphidium arcuatum",0
2010-08-03,"Trachelomonas ",0
2010-08-03,"Cosmarium ",0
2010-08-03,"Dinobryon crenulatum",0
2010-08-03,"Fragilaria filiformis",0
2010-08-03,"Mallomonas akrokomas",0
2010-08-03,"Monomastix astigmata",0
2010-08-03,"Oocystis pusilla",0
2010-08-03,"Peridinium cinctum",0
2010-08-03,"Staurastrum ",0
2010-08-03,"Staurastrum hexacerum",0
2010-08-03,"Stichogloea olivacea",0
2010-08-03,"Teilingia granulata",0
2010-08-03,"Pseudanabaena limnetica",0
2010-08-03,"Microspora ",0
2010-08-03,"Aphanizomenon flos-aquae",0
2010-08-03,"Eunotia ",0
2010-08-03,"Colonial ",0
2010-08-03,"Quadrigula lacustris",0
2010-08-03,"Aphanothece ",0
2010-08-03,"Chrysococcus minutus",0
2010-08-03,"Stephanodiscus medius",0
2010-08-03,"Glenodinium quadridens",0
2010-08-03,"Chrysocapsaceae",0
2010-11-15,"Aphanocapsa delicatissima",0
2010-11-15,"Chlamydomonas ",178939.7615
2010-11-15,"Cryptomonas erosa",0
2010-11-15,"Euglena ",0
2010-11-15,"Miscellaneous",0
2010-11-15,"Rhodospirillum rubrum",6958.6844
2010-11-15,"Synechococcus ",0
2010-11-15,"Total",303620.3351
2010-11-15,"Asterionella formosa",0
2010-11-15,"Chlorococcaceae",114.1996
2010-11-15,"Chlorophyta",2357.548
2010-11-15,"Chrysophyceae",79916.4867
2010-11-15,"Peridinium ",0
2010-11-15,"Rhodomonas minuta",0
2010-11-15,"Synechocystis ",96.3532
2010-11-15,"Coelastrum ",0
2010-11-15,"Gymnodinium sp. 2",0
2010-11-15,"Gymnodinium sp. 3",0
2010-11-15,"Monomastix minuta",0
2010-11-15,"Oocystis parva",0
2010-11-15,"Schroederia judayi",0
2010-11-15,"Dinobryon cylindricum",0
2010-11-15,"Lindavia intermedia",0
2010-11-15,"Sphaerocystis schroeteri",0
2010-11-15,"Chrysochromulina parva",29682.7278
2010-11-15,"Kephyrion ",0
2010-11-15,"Monoraphidium griffithii",0
2010-11-15,"Aphanizomenon ",1213.3152
2010-11-15,"Aphanothece saxicola",456.7984
2010-11-15,"Kephyrion planctonicum",513.8983
2010-11-15,"Tabellaria flocculosa",3370.562
2010-11-15,"Oedogonium ",0
2010-11-15,"Phormidium ",0
2010-11-15,"Tabellaria binalis",0
2010-11-15,"Actinella punctata",0
2010-11-15,"Aphanothece nidulans",0
2010-11-15,"Gloeococcus minor",0
2010-11-15,"Mallomonas ",0
2010-11-15,"Planktothrix agardhii",0
2010-11-15,"Euglena acus",0
2010-11-15,"Scenedesmus bijuga",0
2010-11-15,"Dinobryon cyst",0
2010-11-15,"Mougeotia ",0
2010-11-15,"Stichococcus bacillaris",0
2010-11-15,"Gonyostomum semen",0
2010-11-15,"Mucidosphaerium pulchellum",0
2010-11-15,"Spinocosmarium ",0
2010-11-15,"Synechococcus elongatus",0
2010-11-15,"Cyclotella sp. 1",0
2010-11-15,"Stephanodiscus parvus",0
2010-11-15,"Botryococcus braunii",0
2010-11-15,"Cyclotella ocellata",0
2010-11-15,"Peridinium inconspicuum",0
2010-11-15,"Uroglena ",0
2010-11-15,"Gymnodinium sp. 1",0
2010-11-15,"Peridinium umbonatum",0
2010-11-15,"Lepocinclis ",0
2010-11-15,"Dinobryon ",0
2010-11-15,"Dinobryon sociale",0
2010-11-15,"Monoraphidium arcuatum",0
2010-11-15,"Trachelomonas ",0
2010-11-15,"Cosmarium ",0
2010-11-15,"Dinobryon crenulatum",0
2010-11-15,"Fragilaria filiformis",0
2010-11-15,"Mallomonas akrokomas",0
2010-11-15,"Monomastix astigmata",0
2010-11-15,"Oocystis pusilla",0
2010-11-15,"Peridinium cinctum",0
2010-11-15,"Staurastrum ",0
2010-11-15,"Staurastrum hexacerum",0
2010-11-15,"Stichogloea olivacea",0
2010-11-15,"Teilingia granulata",0
2010-11-15,"Pseudanabaena limnetica",0
2010-11-15,"Microspora ",0
2010-11-15,"Aphanizomenon flos-aquae",0
2010-11-15,"Eunotia ",0
2010-11-15,"Colonial ",0
2010-11-15,"Quadrigula lacustris",0
2010-11-15,"Aphanothece ",0
2010-11-15,"Chrysococcus minutus",0
2010-11-15,"Stephanodiscus medius",0
2010-11-15,"Glenodinium quadridens",0
2010-11-15,"Chrysocapsaceae",0
2011-02-15,"Aphanocapsa delicatissima",0
2011-02-15,"Chlamydomonas ",12716.7412
2011-02-15,"Cryptomonas erosa",6851.9608
2011-02-15,"Euglena ",26346.3407
2011-02-15,"Miscellaneous",3172.2054
2011-02-15,"Rhodospirillum rubrum",1320.433
2011-02-15,"Synechococcus ",0
2011-02-15,"Total",156182.3375
2011-02-15,"Asterionella formosa",2044.7314
2011-02-15,"Chlorococcaceae",1110.271
2011-02-15,"Chlorophyta",63.4442
2011-02-15,"Chrysophyceae",27756.2587
2011-02-15,"Peridinium ",0
2011-02-15,"Rhodomonas minuta",0
2011-02-15,"Synechocystis ",0
2011-02-15,"Coelastrum ",0
2011-02-15,"Gymnodinium sp. 2",0
2011-02-15,"Gymnodinium sp. 3",0
2011-02-15,"Monomastix minuta",0
2011-02-15,"Oocystis parva",0
2011-02-15,"Schroederia judayi",523.4126
2011-02-15,"Dinobryon cylindricum",0
2011-02-15,"Lindavia intermedia",0
2011-02-15,"Sphaerocystis schroeteri",0
2011-02-15,"Chrysochromulina parva",229.0334
2011-02-15,"Kephyrion ",0
2011-02-15,"Monoraphidium griffithii",0
2011-02-15,"Aphanizomenon ",0
2011-02-15,"Aphanothece saxicola",0
2011-02-15,"Kephyrion planctonicum",0
2011-02-15,"Tabellaria flocculosa",0
2011-02-15,"Oedogonium ",50738.6366
2011-02-15,"Phormidium ",13615.327
2011-02-15,"Tabellaria binalis",9693.5415
2011-02-15,"Actinella punctata",0
2011-02-15,"Aphanothece nidulans",0
2011-02-15,"Gloeococcus minor",0
2011-02-15,"Mallomonas ",0
2011-02-15,"Planktothrix agardhii",0
2011-02-15,"Euglena acus",0
2011-02-15,"Scenedesmus bijuga",0
2011-02-15,"Dinobryon cyst",0
2011-02-15,"Mougeotia ",0
2011-02-15,"Stichococcus bacillaris",0
2011-02-15,"Gonyostomum semen",0
2011-02-15,"Mucidosphaerium pulchellum",0
2011-02-15,"Spinocosmarium ",0
2011-02-15,"Synechococcus elongatus",0
2011-02-15,"Cyclotella sp. 1",0
2011-02-15,"Stephanodiscus parvus",0
2011-02-15,"Botryococcus braunii",0
2011-02-15,"Cyclotella ocellata",0
2011-02-15,"Peridinium inconspicuum",0
2011-02-15,"Uroglena ",0
2011-02-15,"Gymnodinium sp. 1",0
2011-02-15,"Peridinium umbonatum",0
2011-02-15,"Lepocinclis ",0
2011-02-15,"Dinobryon ",0
2011-02-15,"Dinobryon sociale",0
2011-02-15,"Monoraphidium arcuatum",0
2011-02-15,"Trachelomonas ",0
2011-02-15,"Cosmarium ",0
2011-02-15,"Dinobryon crenulatum",0
2011-02-15,"Fragilaria filiformis",0
2011-02-15,"Mallomonas akrokomas",0
2011-02-15,"Monomastix astigmata",0
2011-02-15,"Oocystis pusilla",0
2011-02-15,"Peridinium cinctum",0
2011-02-15,"Staurastrum ",0
2011-02-15,"Staurastrum hexacerum",0
2011-02-15,"Stichogloea olivacea",0
2011-02-15,"Teilingia granulata",0
2011-02-15,"Pseudanabaena limnetica",0
2011-02-15,"Microspora ",0
2011-02-15,"Aphanizomenon flos-aquae",0
2011-02-15,"Eunotia ",0
2011-02-15,"Colonial ",0
2011-02-15,"Quadrigula lacustris",0
2011-02-15,"Aphanothece ",0
2011-02-15,"Chrysococcus minutus",0
2011-02-15,"Stephanodiscus medius",0
2011-02-15,"Glenodinium quadridens",0
2011-02-15,"Chrysocapsaceae",0
2011-05-03,"Aphanocapsa delicatissima",0
