"sampledate","division","biovolume_conc"
2010-02-22,"Chlorophyta",1522.6585
2010-02-22,"Cryptophyta",25377.6325
2010-02-22,"Cyanophyta",99.1301
2010-02-22,"Euglenophyta",91473.6948
2010-02-22,"Miscellaneous",1189.5763
2010-02-22,"NA",1345.3878
2010-02-22,"Total",121008.08
2010-02-22,"Bacillariophyta",0
2010-02-22,"Chrysophyta",0
2010-02-22,"Pyrrhophyta",0
2010-02-22,"Haptophyta",0
2010-04-13,"Chlorophyta",216739.9885
2010-04-13,"Cryptophyta",4567.9709
2010-04-13,"Cyanophyta",115.9817
2010-04-13,"Euglenophyta",103122.0071
2010-04-13,"Miscellaneous",4567.9754
2010-04-13,"NA",52961.9967
2010-04-13,"Total",406518.0542
2010-04-13,"Bacillariophyta",1281.7498
2010-04-13,"Chrysophyta",9507.5239
2010-04-13,"Pyrrhophyta",13652.8602
2010-04-13,"Haptophyta",0
2010-06-10,"Chlorophyta",80026.5122
2010-06-10,"Cryptophyta",545430.0121
2010-06-10,"Cyanophyta",539.2759
2010-06-10,"Euglenophyta",126451.9759
2010-06-10,"Miscellaneous",31989.7774
2010-06-10,"NA",6959.0389
2010-06-10,"Total",1037080.528
2010-06-10,"Bacillariophyta",178118.8246
2010-06-10,"Chrysophyta",60205.5986
2010-06-10,"Pyrrhophyta",7359.5124
2010-06-10,"Haptophyta",0
2010-07-07,"Chlorophyta",136435.8209
2010-07-07,"Cryptophyta",831548.8353
2010-07-07,"Cyanophyta",477.8098
2010-07-07,"Euglenophyta",44709.0336
2010-07-07,"Miscellaneous",0
2010-07-07,"NA",3580.6337
2010-07-07,"Total",1060227.48
2010-07-07,"Bacillariophyta",13640.3709
2010-07-07,"Chrysophyta",29834.9759
2010-07-07,"Pyrrhophyta",0
2010-07-07,"Haptophyta",0
2010-08-03,"Chlorophyta",84488.8228
2010-08-03,"Cryptophyta",543944.1603
2010-08-03,"Cyanophyta",127.8775
2010-08-03,"Euglenophyta",69703.9061
2010-08-03,"Miscellaneous",0
2010-08-03,"NA",2569.564
2010-08-03,"Total",728171.29
2010-08-03,"Bacillariophyta",0
2010-08-03,"Chrysophyta",22966.929
2010-08-03,"Pyrrhophyta",2537.7631
2010-08-03,"Haptophyta",1832.2672
2010-11-15,"Chlorophyta",181411.5091
2010-11-15,"Cryptophyta",0
2010-11-15,"Cyanophyta",1766.4668
2010-11-15,"Euglenophyta",0
2010-11-15,"Miscellaneous",0
2010-11-15,"NA",6958.6844
2010-11-15,"Total",303620.3351
2010-11-15,"Bacillariophyta",3370.562
2010-11-15,"Chrysophyta",80430.385
2010-11-15,"Pyrrhophyta",0
2010-11-15,"Haptophyta",29682.7278
2011-02-15,"Chlorophyta",65152.5056
2011-02-15,"Cryptophyta",6851.9608
2011-02-15,"Cyanophyta",13615.327
2011-02-15,"Euglenophyta",26346.3407
2011-02-15,"Miscellaneous",3172.2054
2011-02-15,"NA",1320.433
2011-02-15,"Total",156182.3375
2011-02-15,"Bacillariophyta",11738.2729
2011-02-15,"Chrysophyta",27756.2587
2011-02-15,"Pyrrhophyta",0
2011-02-15,"Haptophyta",229.0334
2011-05-03,"Chlorophyta",399367.2078
2011-05-03,"Cryptophyta",882.411
2011-05-03,"Cyanophyta",7346.1557
2011-05-03,"Euglenophyta",0
2011-05-03,"Miscellaneous",0
2011-05-03,"NA",12633.3321
2011-05-03,"Total",548612.1793
2011-05-03,"Bacillariophyta",2634.7386
2011-05-03,"Chrysophyta",117169.1074
2011-05-03,"Pyrrhophyta",8579.2267
2011-05-03,"Haptophyta",0
2011-06-01,"Chlorophyta",404904.9348
2011-06-01,"Cryptophyta",1418641.328
2011-06-01,"Cyanophyta",2777.0258
2011-06-01,"Euglenophyta",39570.0702
2011-06-01,"Miscellaneous",0
2011-06-01,"NA",30477.0215
2011-06-01,"Total",1974378.175
2011-06-01,"Bacillariophyta",34237.2032
2011-06-01,"Chrysophyta",43770.5918
2011-06-01,"Pyrrhophyta",0
2011-06-01,"Haptophyta",0
2011-07-25,"Chlorophyta",226872.4017
2011-07-25,"Cryptophyta",157645.8506
2011-07-25,"Cyanophyta",0
2011-07-25,"Euglenophyta",15896.5489
2011-07-25,"Miscellaneous",2506.041
2011-07-25,"NA",4782.1088
2011-07-25,"Total",438684.0712
2011-07-25,"Bacillariophyta",3064.1364
2011-07-25,"Chrysophyta",27276.9599
2011-07-25,"Pyrrhophyta",456.7972
2011-07-25,"Haptophyta",183.2267
2011-08-23,"Chlorophyta",140318.4275
2011-08-23,"Cryptophyta",2067023.336
2011-08-23,"Cyanophyta",1876.2666
2011-08-23,"Euglenophyta",8313.7125
2011-08-23,"Miscellaneous",0
2011-08-23,"NA",7744.1612
2011-08-23,"Total",2717606.759
2011-08-23,"Bacillariophyta",0
2011-08-23,"Chrysophyta",492330.8548
2011-08-23,"Pyrrhophyta",0
2011-08-23,"Haptophyta",0
2011-11-11,"Chlorophyta",7079.0888
2011-11-11,"Cryptophyta",728330.1268
2011-11-11,"Cyanophyta",0
2011-11-11,"Euglenophyta",8983.6819
2011-11-11,"Miscellaneous",0
2011-11-11,"NA",1723.6813
2011-11-11,"Total",837527.46
2011-11-11,"Bacillariophyta",585.167
2011-11-11,"Chrysophyta",89219.7859
2011-11-11,"Pyrrhophyta",1605.9283
2011-11-11,"Haptophyta",0
2012-02-20,"Chlorophyta",189641.1339
2012-02-20,"Cryptophyta",145777.6314
2012-02-20,"Cyanophyta",39.4177
2012-02-20,"Euglenophyta",54751.0818
2012-02-20,"Miscellaneous",5676.1378
2012-02-20,"NA",2983.2721
2012-02-20,"Total",417869.8666
2012-02-20,"Bacillariophyta",3681.071
2012-02-20,"Chrysophyta",15320.1209
2012-02-20,"Pyrrhophyta",0
2012-02-20,"Haptophyta",0
2012-04-02,"Chlorophyta",1433268.301
2012-04-02,"Cryptophyta",31928.2729
2012-04-02,"Cyanophyta",313.1798
2012-04-02,"Euglenophyta",0
2012-04-02,"Miscellaneous",0
2012-04-02,"NA",40324.1163
2012-04-02,"Total",1686718.59
2012-04-02,"Bacillariophyta",3591.9308
2012-04-02,"Chrysophyta",114500.5215
2012-04-02,"Pyrrhophyta",62792.2674
2012-04-02,"Haptophyta",0
2012-06-26,"Chlorophyta",74239.1956
2012-06-26,"Cryptophyta",296814.7088
2012-06-26,"Cyanophyta",0
2012-06-26,"Euglenophyta",113404.5155
2012-06-26,"Miscellaneous",0
2012-06-26,"NA",7021.2805
2012-06-26,"Total",589774.6885
2012-06-26,"Bacillariophyta",4730.114
2012-06-26,"Chrysophyta",92853.3852
2012-06-26,"Pyrrhophyta",0
2012-06-26,"Haptophyta",711.4889
2012-07-23,"Chlorophyta",14088.2102
2012-07-23,"Cryptophyta",32933.4232
2012-07-23,"Cyanophyta",49.8866
2012-07-23,"Euglenophyta",34101.1744
2012-07-23,"Miscellaneous",0
2012-07-23,"NA",4972.1201
2012-07-23,"Total",1490280.352
2012-07-23,"Bacillariophyta",0
2012-07-23,"Chrysophyta",1403071.2618
2012-07-23,"Pyrrhophyta",1064.2755
2012-07-23,"Haptophyta",0
2012-08-21,"Chlorophyta",205299.1851
2012-08-21,"Cryptophyta",179915.8277
2012-08-21,"Cyanophyta",49.8866
2012-08-21,"Euglenophyta",30863.9917
2012-08-21,"Miscellaneous",0
2012-08-21,"NA",3602.8138
2012-08-21,"Total",889026.5609
2012-08-21,"Bacillariophyta",3087.5086
2012-08-21,"Chrysophyta",461772.8644
2012-08-21,"Pyrrhophyta",4434.483
2012-08-21,"Haptophyta",0
2012-11-05,"Chlorophyta",124425.2074
2012-11-05,"Cryptophyta",42792.7551
2012-11-05,"Cyanophyta",262.6046
2012-11-05,"Euglenophyta",4150.6761
2012-11-05,"Miscellaneous",40655.3397
2012-11-05,"NA",494.7231
2012-11-05,"Total",484916.0114
2012-11-05,"Bacillariophyta",16789.2852
2012-11-05,"Chrysophyta",10931.8169
2012-11-05,"Pyrrhophyta",243453.0933
2012-11-05,"Haptophyta",960.51
2013-02-18,"Chlorophyta",18500.6678
2013-02-18,"Cryptophyta",9980.5412
2013-02-18,"Cyanophyta",21.8026
2013-02-18,"Euglenophyta",4739.5746
2013-02-18,"Miscellaneous",143038.6838
2013-02-18,"NA",2234.9844
2013-02-18,"Total",204871.5581
2013-02-18,"Bacillariophyta",0
2013-02-18,"Chrysophyta",20376.4385
2013-02-18,"Pyrrhophyta",5978.8652
2013-02-18,"Haptophyta",0
2013-05-13,"Chlorophyta",405767.5068
2013-05-13,"Cryptophyta",193875.582
2013-05-13,"Cyanophyta",81.7599
2013-05-13,"Euglenophyta",33258.6208
2013-05-13,"Miscellaneous",66517.2351
2013-05-13,"NA",6305.2946
2013-05-13,"Total",2686187.18
2013-05-13,"Bacillariophyta",5075.1184
2013-05-13,"Chrysophyta",1853847.4188
2013-05-13,"Pyrrhophyta",121458.6435
2013-05-13,"Haptophyta",0
2013-07-10,"Chlorophyta",69720.1776
2013-07-10,"Cryptophyta",78131.4808
2013-07-10,"Cyanophyta",3442.1777
2013-07-10,"Euglenophyta",0
2013-07-10,"Miscellaneous",567.6134
2013-07-10,"NA",0
2013-07-10,"Total",634792.6211
2013-07-10,"Bacillariophyta",30895.7796
2013-07-10,"Chrysophyta",44861.1294
2013-07-10,"Pyrrhophyta",343140.2609
2013-07-10,"Haptophyta",64034.0017
2013-08-06,"Chlorophyta",226699.5954
2013-08-06,"Cryptophyta",510816.8882
2013-08-06,"Cyanophyta",0
2013-08-06,"Euglenophyta",16602.7043
2013-08-06,"Miscellaneous",297997.2579
2013-08-06,"NA",6095.7869
2013-08-06,"Total",1163888.679
2013-08-06,"Bacillariophyta",23477.2143
2013-08-06,"Chrysophyta",74740.4289
2013-08-06,"Pyrrhophyta",4257.1026
2013-08-06,"Haptophyta",3201.7001
2013-11-08,"Chlorophyta",10051.4947
2013-11-08,"Cryptophyta",856527.0521
2013-11-08,"Cyanophyta",99274.4523
2013-11-08,"Euglenophyta",0
2013-11-08,"Miscellaneous",18920.458
2013-11-08,"NA",4988.8045
2013-11-08,"Total",998347.5506
2013-11-08,"Bacillariophyta",0
2013-11-08,"Chrysophyta",8585.289
2013-11-08,"Pyrrhophyta",0
2013-11-08,"Haptophyta",0
2014-02-20,"Chlorophyta",31681.914
2014-02-20,"Cryptophyta",1261.3631
2014-02-20,"Cyanophyta",14485.8098
2014-02-20,"Euglenophyta",3074.5742
2014-02-20,"Miscellaneous",244783.4507
2014-02-20,"NA",665.1739
2014-02-20,"Total",364144.8893
2014-02-20,"Bacillariophyta",0
2014-02-20,"Chrysophyta",17107.3646
2014-02-20,"Pyrrhophyta",51085.239
2014-02-20,"Haptophyta",0
2014-05-21,"Chlorophyta",120212.5697
2014-05-21,"Cryptophyta",1892.0456
2014-05-21,"Cyanophyta",19076.0173
2014-05-21,"Euglenophyta",0
2014-05-21,"Miscellaneous",79465.9354
2014-05-21,"NA",10310.1961
2014-05-21,"Total",1171103.822
2014-05-21,"Bacillariophyta",9766.2167
2014-05-21,"Chrysophyta",910450.4795
2014-05-21,"Pyrrhophyta",19930.3621
2014-05-21,"Haptophyta",0
2014-06-16,"Chlorophyta",208726.4583
2014-06-16,"Cryptophyta",0
2014-06-16,"Cyanophyta",13142.6226
2014-06-16,"Euglenophyta",0
2014-06-16,"Miscellaneous",409391.4387
2014-06-16,"NA",7760.3626
2014-06-16,"Total",711482.0634
2014-06-16,"Bacillariophyta",17912.438
2014-06-16,"Chrysophyta",54548.7432
2014-06-16,"Pyrrhophyta",0
2014-06-16,"Haptophyta",0
2014-07-16,"Chlorophyta",506679.2326
2014-07-16,"Cryptophyta",8519.1267
2014-07-16,"Cyanophyta",5300.6016
2014-07-16,"Euglenophyta",0
2014-07-16,"Miscellaneous",419058.5814
2014-07-16,"NA",2211.7033
2014-07-16,"Total",986157.8437
2014-07-16,"Bacillariophyta",2508.4944
2014-07-16,"Chrysophyta",41880.1037
2014-07-16,"Pyrrhophyta",0
2014-07-16,"Haptophyta",0
2014-08-11,"Chlorophyta",493364.2092
2014-08-11,"Cryptophyta",57470.895
2014-08-11,"Cyanophyta",2743.8382
2014-08-11,"Euglenophyta",13835.5862
2014-08-11,"Miscellaneous",399103.4108
2014-08-11,"NA",3783.1768
2014-08-11,"Total",1099542.581
2014-08-11,"Bacillariophyta",18052.2011
2014-08-11,"Chrysophyta",111189.2633
2014-08-11,"Pyrrhophyta",0
2014-08-11,"Haptophyta",0
2014-11-07,"Chlorophyta",896502.2273
2014-11-07,"Cryptophyta",16652.773
2014-11-07,"Cyanophyta",258619.0179
2014-11-07,"Euglenophyta",0
2014-11-07,"Miscellaneous",87270.6176
2014-11-07,"NA",3092.9013
2014-11-07,"Total",1346301.58
2014-11-07,"Bacillariophyta",1791.7817
2014-11-07,"Chrysophyta",71955.7117
2014-11-07,"Pyrrhophyta",10416.5492
2014-11-07,"Haptophyta",0
2015-03-06,"Chlorophyta",182595.854
2015-03-06,"Cryptophyta",5802.2224
2015-03-06,"Cyanophyta",21811.6639
2015-03-06,"Euglenophyta",49666.2051
2015-03-06,"Miscellaneous",8829.5474
2015-03-06,"NA",1733.1477
2015-03-06,"Total",271402.9433
2015-03-06,"Bacillariophyta",0
2015-03-06,"Chrysophyta",679.7072
2015-03-06,"Pyrrhophyta",0
2015-03-06,"Haptophyta",284.5956
2015-04-21,"Chlorophyta",1887136.982
2015-04-21,"Cryptophyta",1202.2375
2015-04-21,"Cyanophyta",911.5347
2015-04-21,"Euglenophyta",38633.2122
2015-04-21,"Miscellaneous",0
2015-04-21,"NA",4009.5207
2015-04-21,"Total",2501379.992
2015-04-21,"Bacillariophyta",77023.9378
2015-04-21,"Chrysophyta",329904.2906
2015-04-21,"Pyrrhophyta",162558.2762
2015-04-21,"Haptophyta",0
2015-06-17,"Chlorophyta",1130759.264
2015-06-17,"Cryptophyta",243926.1013
2015-06-17,"Cyanophyta",842.5495
2015-06-17,"Euglenophyta",0
2015-06-17,"Miscellaneous",0
2015-06-17,"NA",3298.1541
2015-06-17,"Total",1433811.75
2015-06-17,"Bacillariophyta",5600.2071
2015-06-17,"Chrysophyta",48958.5805
2015-06-17,"Pyrrhophyta",0
2015-06-17,"Haptophyta",426.8933
2015-07-15,"Chlorophyta",1501283.9314
2015-07-15,"Cryptophyta",128262.9695
2015-07-15,"Cyanophyta",11751.3216
2015-07-15,"Euglenophyta",0
2015-07-15,"Miscellaneous",0
2015-07-15,"NA",4489.6954
2015-07-15,"Total",1714066.04
2015-07-15,"Bacillariophyta",2506.1355
2015-07-15,"Chrysophyta",45570.8471
2015-07-15,"Pyrrhophyta",18920.4594
2015-07-15,"Haptophyta",1280.68
2015-08-11,"Chlorophyta",924919.024
2015-08-11,"Cryptophyta",80352.8256
2015-08-11,"Cyanophyta",36934.7951
2015-08-11,"Euglenophyta",0
2015-08-11,"Miscellaneous",58269.1037
2015-08-11,"NA",2993.3674
2015-08-11,"Total",1156824.059
2015-08-11,"Bacillariophyta",0
2015-08-11,"Chrysophyta",49837.5095
2015-08-11,"Pyrrhophyta",1596.4132
2015-08-11,"Haptophyta",1921.0201
2015-11-17,"Chlorophyta",65536.0328
2015-11-17,"Cryptophyta",0
2015-11-17,"Cyanophyta",470.0562
2015-11-17,"Euglenophyta",0
2015-11-17,"Miscellaneous",0
2015-11-17,"NA",6872.3546
2015-11-17,"Total",265331.473
2015-11-17,"Bacillariophyta",16780.761
2015-11-17,"Chrysophyta",171396.0008
2015-11-17,"Pyrrhophyta",4276.2676
2015-11-17,"Haptophyta",0
